id_buku,judul_buku,id_penulis,id_penerbit,id_kategori,ISBN,tahun_terbit,jumlah_halaman,link_buku,deskripsi
E123012,BUSINESS ENGLISH 1 Bahasa Inggris Bisnis I,PN006,PE005,C123,9.79E+12,Tanggal terbit tidak tersedia,124,https://play.google.com/store/books/details?id=IMzJEAAAQBAJ&source=gbs_api,"As we all know, a book can be more meaningful if it can provide benefits that we can later use in everyday life. Through this book, the author tries to collect some English material needed for business matters. Starting from understanding, steps to start a conversation, to things that should be avoided when doing business. The author also includes some contemporary vocabulary that is often mixed up in business matters. The outlined for this book can be broken down, including: 1. English Presentation Skills 2. English Negotiation Skills 3. English Report Writing 4. English Telephoning Skills 5. English Meeting Skills 6. English Email Writing Each of the skills above the author arrange in chapters as already in this book. So the author hopes that this book will be easier to learn and easy to practice."
E123013,Think and Grow Rich,PN007,PE005,C123,9.79E+12,5/27/2019,401,https://play.google.com/store/books/details?id=6WGhDwAAQBAJ&source=gbs_api,"Think and Grow Rich adalah karya fundamental sang penulis buku sukses legendaris, Napoleon Hill. Buku yang pertama kali diterbitkan tahun 1937 ini sekarang tetap sama ampuhnyaâ€”dan akan mengubah kehidupan Anda selamanya. Bisa dibilang mustahil menemukan motivator yang sama sekali tidak terpengaruh oleh karya Hill. Pengaruhnya bisa dilihat dalam tulisan-tulisan Dale Carnegie dan Norman Vincent Peale. Gaung dari prinsip-prinsip Hill juga bisa ditemukan dalam karya Mary Kay Ash, Ken Blanchard, Jack Canfield dan Mark Victor Hansen, John Gray, Brian Tracy, dan Dennis Waitley. Steven Covey, penulis The Seven Habits of Highly Effective People, sering kali menyampaikan pengaruh Napoleon Hill dalam karyanya. Selain itu, Anthony Robbins, yang boleh jadi merupakan motivator dan penulis buku motivasi paling sukses pada awal abad ke-21, menyebut Napoleon Hill sebagai pahlawannya. Ciri khas utama edisi asli Think and Grow Rich adalah dalam setiap bab Napoleon Hill mencantumkan contoh-contoh nyata. Hal itu masih dipertahankan dalam edisi ini, dan dilengkapi contoh-contoh baru serta contoh kasus-kasus modern yang bisa dengan jelas mendemonstrasikan bahwa semua prinsip Hill tetap bisa diaplikasikan, dan sampai saat ini masih membimbing orang menuju kesuksesan. Banyak kiat sukses yang Anda baca di berbagai bestseller lain berasal dari buku ini. Buktikan sendiri!"
E123014,The Young Man Entering Business,PN008,PE006,C123,ISBN tidak tersedia,Tanggal terbit tidak tersedia,338,https://play.google.com/store/books/details?id=iahJAAAAIAAJ&source=gbs_api,Deskripsi tidak tersedia
E123015,Store Management--complete,PN009,PE006,C123,ISBN tidak tersedia,10/20/2022,264,https://play.google.com/store/books/details?id=1iYZAAAAYAAJ&source=gbs_api,Deskripsi tidak tersedia
E123016,How to Start a Bankruptcy Forms Processing Service,PN010,PE006,C123,9.78E+12,Tanggal terbit tidak tersedia,308,http://books.google.com/books?id=5HV44_tnmc8C&dq=Bisnis&hl=&source=gbs_api,"Ring reveals how readers can start a bankruptcy forms processing business at home, do a professional job, and locate attorneys who need their service. Free client intake forms included."
E123017,Business Organizations Law in Focus,PN011,PE007,C123,9.78E+12,10/27/2022,888,https://play.google.com/store/books/details?id=P4b4DwAAQBAJ&source=gbs_api,"Business Organizations Law in Focus, Second Edition provides a thorough introduction to the key attributes, advantages, and disadvantages of every form of for-profit business organization in the United States, including: partnerships, limited liability companies, and corporations. The practice-oriented approach of the Focus Casebook Series elucidates the legal and practical aspects of business organizations through real-world scenarios that provide numerous opportunities for students to apply theory to practice and solidify their understanding of key concepts. Clear exposition and Case Previews support independent learning and focus case analysis. New to the Second Edition: Significantly more editing of cases with an eye towards making case excerpts shorter and more accessible to students. Expanded coverage of LLCs in Chapter 12, including a newly added case and related exercises addressing the primacy of the operating agreement in LLC governance and 2019 case and associated exercises highlighting LCC dissolution standards. Newly-added cases and exercises in Chapter 9 highlighting the continued evolution of Delawareâ€™s Caremark corporate monitoring and oversight doctrine, including references to the Delaware Supreme Courtâ€™s recent decision in Marchand v. Barhill, 212 A.3d 805, 809 (Del. 2019) reversing the dismissal of Caremark claims against an ice cream manufacturer over allegedly persistent food safety issues, and the Chancery Courtâ€™s decision in Clovis Oncology, Inc. Derivative Litig., C.A. No. 2017-0222-JRS, 2019 WL 4850188 (OCT. 1, 2019) denying a motion to dismiss Caremark claims involving allegedly â€œserial non-complianceâ€ with FDA protocols and regulations having to do with drug approval. An additional case in Chapter 10 that asks whether the â€œdisrespectful and unfairly disproportionate treatment of a female shareholder by the male majority in a closely held corporation constitutes corporate oppressionâ€ pursuant to New York Business Corporation Law Â§ 1104-a (a)(1). A new case in Chapter 10 in which shareholders of AmerisourceBergenâ€”one of the worldâ€™s leading wholesale distributors of opioid painkillersâ€”sought to exercise their inspection rights under DGCL Â§ 200 to investigate whether the firm had engaged in wrongdoing in connection with the distribution of opioids. Additional and expanded references to Model Business Corporation Act (MBCA) standards across Chapters 8, 9, and 10, including expanded references to MBCA standards concerning director conflicting interest transactions, the corporate opportunity doctrine, and the MBCAâ€™s universal demand rule for derivative actions. A new case in Chapter 3 addressing duties of loyalty and candor in the partnership context that invokes the Meinhard v. Salmon standard in a manner that is more accessible to students. Updated coverage of the proxy system and proxy regulation, securities offering rules and regs, and developments in insider trading law. New cases and â€œspotlightâ€ sections that address a variety of timely issues, including â€œunicornsâ€ (start-up businesses with a valuation of at least $1 billion), claims involving opioid manufacturers, and corporate governance matters involving #MeToo claims. Professors and students will benefit from: Features that engage students in applying theory to practice, such as Real-Life Applications, Application Exercises, and Applying the Concepts. Experiential exercises on drafting documents and preparing appropriate filings. An overview in Chapter One of the various forms of business organization and their key attributes, advantages, and disadvantages. An emphasis on contemporary principal cases and issues that resonate with todayâ€™s students and fuel class discussion. Clear exposition of legal principles means students can absorb assigned reading on their own, and professors donâ€™t have to explain it from the lectern in class. Attention to attorney ethical issue and rules that commonly arise in the representation of business entities. The online ascii art generator can convert text to multiline text boxes. Try it now."
E123018,SELLING is EVERYBODY BUSINESS,PN012,PE007,C123,9.79E+12,10/6/2021,306,https://play.google.com/store/books/details?id=QZ5GEAAAQBAJ&source=gbs_api,"SELLING IS EVERYBODY BUSINESS. A Total Solution Approach. Oktober 2021. 306 pages Buku baru Hendrik Lim ini menawarkan pendekatan baru dalam Penjualan, khususnya dalam B2B Selling. Yaitu melalui pendekatan Total Solusi. Dengan pendekatan ini berarti Selling Team tidak lagi hanya mengandalkan Harga sebagai amunisi untuk memenangkan pelanggan dan bisnis. Tetapi melalui pendekatan ini, Sales Engineer maju dengan segenap resources, kompetensi, keunggulan produk, network dan akses yang dimiliki perusahaan. Mereka memobilisir kekuatan yang dimiliki perusahaan, untuk membantu pelanggan dalam memecahkan masalah dan memenuhi kebutuhannya. Dengan kata lain, kini Sales Engineer bak seorang konsultan bagi pelanggannya. Mereka datang sebagai Problem Solving Officier. Pendekatan Total Solution ini juga berarti kini semua insan perseroan terlibat dalam usaha memberikan kepuasan pelanggan. Semua corporate citizen, apapun pangkat dan kompartemennya terlibat dalam usaha kemajuan perusahaan. Terlibat dalam usaha memastikan bahwa apa yang dihasilkan perusahaan tidak hanya bermutu, tapi juga laku. Singkat kata, Selling is Everybody Business. Untuk memastikan keberhasilan operasionalisasi Pendekatan Total Solusi tersebut, maka segenap insan perseroan harus paham: (i) Apa itu filosofi dasar bisnis. (ii) Punya Mentalitas dan mindset entreprenurahip_ bisnis. (iii) Punya kemampuan Teknik bisnis, atau Bisnis Akumen. (iv) Menguasai Bisnis Proses penjualan. (v) Punya Kultur badan usaha dan (vi) Values Bisnis yang supportif, serta kemampuan partnership. Ke semua modul itu, dibahas secara komprehensif dalam buku ini, sehingga pembaca bisa langsung mempraktekannya."
E123019,Mobile Hot Dog Cart Company,PN013,PE008,C123,9.78E+12,5/1/2009,114,http://books.google.com/books?id=ELt0AgAAQBAJ&dq=Bisnis&hl=&source=gbs_api,"""This business plan kit provides valuable information for starting a hot dog cart company."" --p.7"
E123020,Journal Papua and New Guinea Society,PN013,PE009,C123,ISBN tidak tersedia,Tanggal terbit tidak tersedia,524,http://books.google.com/books?id=9EETAQAAIAAJ&dq=Bisnis&hl=&source=gbs_api,Deskripsi tidak tersedia
E123021,Information Technology Business Start-up,PN014,PE010,C123,9.79E+12,1/2/2019,272,https://play.google.com/store/books/details?id=10uHDwAAQBAJ&source=gbs_api,"Saat ini bisnis dengan model start-up sedang digandrungi. Bisnis dengan model ini menjadi tren dan banyak orang yang mencoba peruntungan di model bisnis ini. Banyaknya kesuksesan yang dituai oleh para pelaku bisnis start-up menjadi patokan impian dan motivasi. Dunia Teknologi Informasi (TI) yang berkembang sangat pesat, telah menyulap dunia kita hingga ke detail paling sederhana di kehidupan. Hampir tak ada bidang yang tak tersentuh TI. TI digunakan untuk menyelesaikan berbagai masalah yang ada di tengah masyarakat. Sisi inilah yang banyak digunakan oleh para pegiat muda untuk dijadikan sebagai tonggak utama dalam berbisnis. Perangkat lunak, hardware, game, dan animasi merupakan kategori favorit untuk bisnis start-up berbasis IT ini."
E123022,The Journal of the Papua and New Guinea Society,PN014,PE011,C123,ISBN tidak tersedia,Tanggal terbit tidak tersedia,246,http://books.google.com/books?id=5m8RAQAAMAAJ&dq=Bisnis&hl=&source=gbs_api,Deskripsi tidak tersedia
E123023,"""As You Were, Bill!""",PN015,PE012,C123,ISBN tidak tersedia,Tanggal terbit tidak tersedia,174,https://play.google.com/store/books/details?id=uRsMAAAAYAAJ&source=gbs_api,"The Shelf2Life Literature and Fiction Collection is a unique set of short stories, poems and novels from the late 19th to early 20th centuries. From tales of love, life and heartbreaking loss to humorous stories of ghost encounters, these volumes captivate the imaginations of readers young and old. Included in this collection are a variety of dramatic and spirited poems that contemplate the mysteries of life and celebrate the wild beauty of nature. The Shelf2Life Literature and Fiction Collection provides readers with an opportunity to enjoy and study these iconic literary works, many of which were written during a period of remarkable creativity."
E123024,Testosterone Inc,PN016,PE012,C123,9.78E+12,5/12/2004,416,https://play.google.com/store/books/details?id=E6w5Sp6zsLEC&source=gbs_api,"In Testosterone Inc.: Tales of CEOs Gone Wild, bestselling authorand New York Post columnist Chris Byron chronicles the Gatsby-likesaga of the rise and fall of the celebrity CEO. During the heightof the 1990s bull market, they were Americaâ€™s new heroes: theheroes of business. They were our bold new leaders, cutting thefat, pushing for productivity, implementing visionary plans, andmaking strategic deals. When the bull market turned to bust and the applause turned tocat-calls, the world was shocked at the truth. Drenched in moneyand public acclaim, our CEO-heroesâ€”mostly white, mostly male,mostly middle-agedâ€”turned out to be not much different than agroup of twenty-something rock starsâ€”drunk on power anddriven by sex, greed, and glamour. Testosterone Inc. goes behind the boardroom doors to show theserial affairs and marriages of these acquisitive corporatetitans. At the center of this story is Jack Welch, thebiggest of Americaâ€™s rock star CEOs and the former head ofGeneral Electric Co., surrounded by â€œmini-meâ€ CEOs RonPerelman of Revlon, Al Dunlap of Sunbeam, and Dennis Kozlowski ofTycoâ€”all gone wild in public displays of consumption andpredatory appetites writ large. Byron gets inside the bars where Welch liked to hang out andpick up women with his early â€œbusiness soul mateâ€buddies. Byron hovers unseen at the elbow of Ron Perelman and hismistress aboard the Concorde for a week in Paris in his mistakenbelief that his wife knows nothing about his secret affair. Byronpeeks behind the curtains of a U.S. Army officersâ€™ quartersto behold Al Dunlap horrifying his first wife, who claimed in herdivorce action that Dunlap would point his knife at her and say,â€œI often wondered what human flesh tasted like.â€ Byronbecomes a fly on the wall to chronicle the longing for respect andserial womanizing of Dennis Kozlowski. Frequently hilarious, sometimes heartbreaking, Testosterone Inc.follows the intertwined lives of these four corporate heroes, fromchildhood to their ultimate moments of glory and the crash-and-burncalamities that followed, as manâ€™s age-old hunger for power,greed, and temptation undid them all. From suicide to murder,from dysfunctional childhoods to dysfunctional marriages inadulthood, from business chutzpah to financial suicide, here is theultimate untold business story of our time: what went on atcenturyâ€™s end, when testosterone got the best of businessmeneverywhere, and CEOs went wild."
E123025,Doing Business in Russia,PN016,PE012,C123,ISBN tidak tersedia,Tanggal terbit tidak tersedia,352,http://books.google.com/books?id=KuEJAQAAMAAJ&dq=Bisnis&hl=&source=gbs_api,"The current economic situation, best investment opportunities, and commercial development incentives. Legal requirements, basics of privatization of former state-run businesses, and the Russian banking system."
E123027,Hook Point,PN017,PE012,C123,9.79E+12,11/14/2022,340,https://play.google.com/store/books/details?id=xVmeEAAAQBAJ&source=gbs_api,"Hook Point: Seni menciptakan konten digital super menarik, membuat brand menjadi top of mind, sangat cocok untuk mengembangkan bisnis dan personal branding, oleh pemikir luar biasa Brendan Kane, merinci strategi paling efektif untuk menghasilkan peluang baru, berinovasi, dan meningkatkan skala bisnis Anda, serta menciptakan brand yang menarikâ€”baik online maupun offlineâ€”sehingga Anda dapat berkembang di â€˜dunia minim perhatianâ€™ tempat kita tinggal sekarang ini. Ketika banyak orang mengetahui kehidupan orang lain dengan mudah lewat media sosial, banyak brand di luar sana yang berjuang mati-matian untuk menarik perhatian audiens potensial demi bisa dikenal oleh mereka. Banyak juga brand dengan produk/jasa luar biasa harus gagal meraih kesuksesan karena mereka tidak tahu bagaimana melakukan komunikasi yang efektif dengan audiens. Ini karena media digital dan sosial telah mengubah dunia kita menjadi dunia yang minim perhatian. Ada lebih dari 60 miliar pesan yang dibagikan di platform digital setiap harinya, dan rata-rata orang terpapar antara 4.000 hingga 10.000 iklan sehari. Stimulan masif ini telah mengubah cara kita berkomunikasi dan memasarkan konten baik online maupun offline. Faktanya, penelitian menunjukkan bahwa Anda memiliki waktu kurang dari tiga detik untuk menarik perhatian seseorang. Dengan jangka waktu yang begitu singkat, kita perlu menarik audiens dengan cepat, efisien, dan konsisten jika kita ingin berhasil mendorong awareness dan growth suatu brand. Untungnya, Brendan Kane, seorang pemikir dan ahli strategi luar biasa yang membangun platform untuk selebriti seperti Taylor Swift dan Rihanna, dan bekerja dengan perusahaan Fortune 500 seperti Paramount, Viacom, dan MTV telah menguasai seni untuk mencuri perhatian di dunia digital yang serba cepat ini. Dalam Hook Point: Seni menciptakan konten digital super menarik, membuat brand menjadi top of mind, sangat cocok untuk mengembangkan bisnis dan personal branding, ia mengungkapkan kekuatan hook pointâ€”alat komunikasi yang membantu marketer mengemas pesan mereka dengan cara yang ringkas dan menarik perhatian yang mengarah pada peluang yang lebih baik, baik online maupun offline. Baik Anda mempromosikan brand, produk, atau jasa, buku ini adalah panduan penting untuk mewujudkannya di dunia dunia yang serba cepat."
E123028,Directory of Central Java & Yogyakarta,PN018,PE013,C123,ISBN tidak tersedia,Tanggal terbit tidak tersedia,988,http://books.google.com/books?id=hswqAAAAMAAJ&dq=Bisnis&hl=&source=gbs_api,Deskripsi tidak tersedia
E123029,Getting the Most Out of Business,PN018,PE014,C123,9.78E+12,9/9/2017,492,http://books.google.com/books?id=LfPntAEACAAJ&dq=Bisnis&hl=&source=gbs_api,"Excerpt from Getting the Most Out of Business: Observations of the Application of the Scientific Method to Business Practice I confess I had little thought of writing a book when the articles* from which this book has grown, first took shape. My business life has been cast in a twentieth century mold. As an editor, advertising man, a sales manager and business executive, I have always been most interested in the relation of business to the masses. AS a manager of men, whether through direct daily contact, or on the plat form, or through the printed word, or in voluntary associa tions, I have found certain fundamental principles which, when skilfully applied, invariably brought the desired result. These principles are not easily formulated, nor are they easy Of application in the face Of wrong practice so Old as to have become petrified in a sacred tradition. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully"
E123030,Entrepreneurial Marketing,PN019,PE015,C123,9.78E+12,4/29/2014,162,http://books.google.com/books?id=li9zAwAAQBAJ&dq=Bisnis&hl=&source=gbs_api,"How do you sell a totally new kind of product to a market that does not yet exist? Entrepreneurial businesses often create products and services based on radically new technology that has the power to change the marketplace. This means that existing market research will have produced data about market categories and structures that are largely irrelevant to the entrepreneur. This complicates the sales and marketing functions for new products that may be hard for the market to understand in the first place. Entrepreneurial Marketing focuses on this special challenge: new marketing methods for new products. Classic core marketing concepts, such as segmentation, positioning, and the marketing mix undergo an ""extreme makeover"" in the context of innovative products hitting the market. The author stresses effectuation, iterative thinking, principles of affordable loss, adjustment for emerging opportunities, and cooperation with first customers. This new textbook provides students of entrepreneurial marketing with everything they need to know to succeed in their classes as well as practical tools and techniques that will be useful after the exams have finished."
E123031,Indonesia Bank Directory,PN019,PE016,C123,ISBN tidak tersedia,Tanggal terbit tidak tersedia,408,http://books.google.com/books?id=kkgXAQAAMAAJ&dq=Bisnis&hl=&source=gbs_api,Deskripsi tidak tersedia
E123032,A Coach's Guide to Developing Exemplary Leaders,PN020,PE017,C123,9.78E+12,7/6/2017,260,http://books.google.com/books?id=5IQrDwAAQBAJ&dq=Bisnis&hl=&source=gbs_api,"An evidence-based approach to real-world leadership development A Coach's Guide to Developing Exemplary Leaders presents leadership not as an inherent talent, but as a set of skills to be learned. Backed by over 30 years of original research and data from over four million individuals, this book offers a framework for leadership development in the modern business environment, and a set of best practices for training the leaders of tomorrow. The basic curriculum centers around The Five Practices of Exemplary LeadershipÂ®: Model the Way, Inspire a Shared Vision, Challenge the Process, Enable Others to Act, and Encourage the Heart. As fundamental elements of great leadership at any level, in any industry, these tenets establish a learnable, measureable, teachable set of behaviors that form the basis of evidence-based leadership development. This book shows you how to use the Five Practices and related tools to coach promising talent into leadership roles. Success stories show how these practices have been implemented in real-world situations, and worksheets and checklists help you easily integrate the Five Practices into your existing coaching regimen. Highly practical and straightforward, this action-focused guide helps you shape the future of leadership. Teach people skills that have been proven effective again and again, as you show them how to: Be the example that sets the tone at the top Inspire high performance, creativity, and innovation Challenge people to push their comfort zone, and enable them to succeed Provide support, encouragement, and guidance around obstacles As Baby Boomers retire in record numbers, the need for real, effective leadership is growing greater than ever"
E123033,Investing in Digital Startups,PN021,PE017,C123,9.79E+12,7/9/2018,213,https://play.google.com/store/books/details?id=fiVtDwAAQBAJ&source=gbs_api,"Buku ini adalah tentang: 1. Berinvestasi pada manusia, bukan aset 2. Bagaimana menentukan berapa nilai suatu perusahaan startup yang tidak memiliki aset fisik 3. Bagaimana menemukan bisnis bagus diantara ribuan tumpukan proposal bisnis startup 4. Bagaimana membedakan startup yang bisa sukses dan gagal 5. Berapa banyak saham yang harus dibeli 6. Bagaimana bernegosiasi dengan para startup 7. Bagaimana memelihara startup yang kita invest 8. Menghitung ROI dari bisnis startup yang kadang-kadang terlihat seperti bisnis bakar-bakar uang 9. Tahu ke mana nantinya menjual startup ini, dan berapa harganya 10. Dan jika Anda adalah owner sebuah perusahaan startup, Anda sebaiknya tahu apa yang ada di kepala investor"
E123034,5 Keys to Success in Todays Market Learn the Difference in Prospecting and M,PN022,PE017,C123,9.78E+12,9/27/2017,42,http://books.google.com/books?id=lSfFswEACAAJ&dq=Bisnis&hl=&source=gbs_api,"In this book, you'll learn what your upline isn't teaching you on how to build your home base business in today's Market. What most Network Marketers are taught is cold market prospecting, and they bring the same strategies online which doesn't work as well. Understanding the difference in cold market prospecting and attraction marketing. I give five detail difference between prospecting and marketing this strategy will put you front of your competition coming online. The days of chasing family and friends are over. And frankly, they don't work as well as the leveraging strategies using social media and the internet. We teach a method called Attraction Marketing. How would the conversation be if you had people knocking down your door about your business instead of you chasing them?"
E123035,The Bank for International Ideas - From Intellectual Capital to Intellectual Property,PN023,PE018,C123,9.78E+12,3/6/2011,114,https://play.google.com/store/books/details?id=sh1MBAAAQBAJ&source=gbs_api,"How do we connect Good Ideas with the Investment community in Today's Economy on a Global Scale? In this Digital Age of the 21st century, what is now required is a New Economic System, a New Platform that can measure economics and the currency of trading back and forth similar to the barter and trade systems of the past --- Intellectual Capital --- is the ""New Currency of today."" This new form of capital is the current world structure, and as we look upon this turning point today in our lives, taking this opportunity to move forward not only individually, but collectively as a community and globally as a world order. This new Intellectual Capital is leading us to a New Economic Order. Today we see the world at a strategic inflection point where it is growing as well as advancing in the areas of Intellectual Capital. Of course there are several known companies like Google, Yahoo, Microsoft, Amazon, eBay and many others. But we must never forget that Intellectual Property is what also created the automobile. It was Henry Ford's Intellectual Capital that brought automation of the automobile, which created the wealth of the auto industry. We then remember the minds of Andrew Carnegie and John D. Rockefeller, which created industrialization on a level that, is still seen today, Rockefeller also added oil to his list of contributions and moved forward the car industry. The phenomenon of the social network website Facebook is a good analogy. Users can post a profile easily and with no barriers. The result is over 500 million people have added profiles so far in more than 170 countries. This has resulted in an incredible impact of one platform growing by collectivism. The financial brilliance of Goldman Sachs has seen this and blessed it with its golden gavel by partnering with Facebook which is now valued at $50 Billion Dollars. This valuation is not focus on advertising capability only or any other traditional measurable financial value. This value is placed on growth, and the number of people in the system as well as the future possibilities to reach these people directly. The key is anyone can enter a profile from anyplace in the world, because the barrier is so low. Facebook is not focused on economic development or global prosperity. But The Bank for International Ideas is."
E123036,Business Trends in the Digital Era,PN024,PE019,C123,9.79E+12,5/31/2016,250,https://play.google.com/store/books/details?id=hY9FDAAAQBAJ&source=gbs_api,"This book introduces 10 mega business trends, ranging from big data to the O2O model. By mining and analyzing mountains of data, the author identifies these 10 emerging trends and goes to great lengths to explain and support his views with up-to-date cases. By incorporating the latest developments, this book allows readers to keep abreast of rapidly advancing digital technologies and business models. In this time of mass entrepreneurship and innovation, acquiring deep insights into business trends and grasping opportunities for innovation give readers (business executives in particular) and their companies a competitive advantage and the potential to become the next success story. The Chinese version of the book has become a hit, with some business schools using it as a textbook for their S&T Innovation and Business Trends programs. It also provides business executives with a practical guide for their investment and operation decisions."
